road_name,road_type,longitude,latitude
Kamarajar Salai,tertiary,80.2080273,13.0353678
S.O. Balasubramaniam Salai,tertiary,80.2049551,13.0392619
8th Avenue,tertiary,80.213026,13.037435
9th Avenue,tertiary,80.2147425,13.0390659
11th Avenue,secondary,80.2184352,13.0324539
Nagathamman Koil Road,tertiary,80.2098102,13.0299762
Mahatma Gandhi Road,secondary,80.2668883,12.995765
5th Avenue,tertiary,80.2688769,13.0035774
Blue Cross Street,tertiary,80.2641297,13.0080965
East Coast Road,primary,80.259824,12.9871225
Besant Nagar 4th Main Road,tertiary,80.2710428,13.0008946
South Avenue,primary,80.2576927,12.984174
Dr MGR Main Road,secondary,80.2463933,12.9640055
4th Main Road,secondary,80.2575773,12.9832551
Taylors Road,tertiary,80.2380274,13.0765787
Kilpauk Garden Road,secondary,80.243353,13.0822456
Harleys Road,secondary,80.2413964,13.0829009
Balfour Road,secondary,80.2452338,13.0854021
Cooks Road,primary,80.2532302,13.1045757
Medavakkam Tank Road,secondary,80.2432849,13.0878017
Elephant Gate Bridge Road,secondary,80.2695173,13.0922579
Halls Road,tertiary,80.2336168,13.0819456
Halls Road,secondary,80.2336168,13.0819456
New Avadi Road,secondary,80.2336168,13.0819456
Stephensons Salai,secondary,80.2573877,13.1037948
Raji Street,tertiary,80.2313773,13.0885534
Konnur High Road,primary,80.2511085,13.0985966
Strahans Road,secondary,80.2592517,13.0973747
Puthu Farrance Salai,tertiary,80.2595036,13.0986257
Barracks Gate Salai,secondary,80.2598315,13.0998533
Konnur High Road,primary,80.2279272,13.1000561
,secondary,80.2301123,13.1028759
Portious Road,secondary,80.2310587,13.1025415
NMK Street,tertiary,80.2334261,13.0969877
EVR Periyar Salai,primary,80.1824525,13.0704619
Ormes Road,tertiary,80.246283,13.0816642
Stanley Viaduct,secondary,80.2752236,13.0813985
Audiappa Naicken Street,tertiary,80.2850618,13.0914651
,tertiary,80.2757051,13.0927178
Mannady Street,tertiary,80.2865192,13.0968603
Basin Bridge Road,secondary,80.2684607,13.0940109
Ramanan Street,tertiary,80.2774341,13.0932171
Basin Bridge Road,secondary,80.2683907,13.0980788
Pulianthope High Road,secondary,80.2668498,13.0984972
Rajaji Salai,primary,80.2943986,13.1009452
RBI Subway,primary,80.2898644,13.0873133
,primary_link,80.288992,13.0826299
DGS Dhinakaran Road,primary,80.2629394,13.0189973
Irusappa Gramani Street,tertiary,80.2746007,13.0489871
Westcott Road,secondary,80.2654679,13.0582961
2nd Street,tertiary,80.2600563,13.0346969
Karpagambal Nagar Road,secondary,80.2646004,13.0397999
VM Street,tertiary,80.268302,13.0438516
Sivaswamy Salai,tertiary,80.2647314,13.0416723
VM Street,tertiary,80.2695153,13.053389
Pathari Road,tertiary,80.256577,13.0603604
Conron Smith Road,secondary,80.2578927,13.0545149
Gopalapuram 1st Street,tertiary,80.257576,13.0495732
Peters Road,secondary,80.2615778,13.054152
Peters Road,secondary,80.2668862,13.053616
Sathyam Flyover,secondary,80.2557807,13.0546203
Avvai Shanmugam Salai,secondary,80.2616175,13.0482192
Thiru Vi Ka Sundaram High Road,tertiary,80.2679002,13.0427836
Thiruvottriyur High Road,secondary,80.2785044,13.1108377
Basin Bridge Road,primary,80.2706018,13.102947
1st Avenue,secondary,80.2254031,13.0833246
Anna Arch Road,secondary,80.2180203,13.0844994
General Hospital Road,primary,80.2817846,13.082277
Jawaharlal Nehru Road (100 Feet Road),primary,80.1984989,13.0824362
6th Main Road,tertiary,80.2128129,13.0824432
MTC Busway,primary,80.2050526,13.0699705
Rotary Nagar Main Road,tertiary,80.2768863,13.0466354
Srinivasa Road,tertiary,80.259261,13.0222409
North Mada Street,tertiary,80.2680998,13.0345376
Chitrakulam North Street,tertiary,80.2740447,13.0315028
Venkatesa Agraharam Road,tertiary,80.2676212,13.0326562
East Tank Square Street,tertiary,80.2691912,13.032353
Bazaar Road,tertiary,80.2737173,13.0342553
PVK Koil Street,tertiary,80.2739326,13.0391109
South Mada Street,tertiary,80.2708463,13.03198
East Mada Street,tertiary,80.2712414,13.0338855
Foreshore Estate Link,tertiary,80.276778,13.022514
Devanathan Street,secondary,80.2633621,13.0266051
Thandavarayan Street,tertiary,80.2718323,13.0174047
Model School Road,tertiary,80.2532575,13.0540709
Khader Nawaz Khan Road,tertiary,80.2500509,13.0607332
Link Road,tertiary,80.2634504,13.0662681
Gandhi Mandapam Flyover,primary,80.2427147,13.0066507
Sardar Patel Road,primary_link,80.2380038,13.0073267
Ponniamman Koil Road,tertiary,80.2410929,13.0181555
5th Main Road,tertiary,80.2369888,13.0313106
,tertiary,80.2353917,13.0280247
4th Main Road,tertiary,80.2346943,13.0287122
Napier Bridge,primary,80.2846947,13.0694322
East Coast Road,primary,80.2431294,12.8673993
,primary,80.2278862,12.9009094
Vembuli Amman Koil Street,tertiary,80.1853551,12.987937
Suryanarayana Street,primary,80.2925488,13.1145622
70Ft Road,secondary,80.2285248,13.1177239
Kolathur Road,secondary,80.2193333,13.1260513
,tertiary,80.2060919,13.1086624
3rd Main Road,tertiary,80.2043663,13.1088025
,tertiary,80.1385601,13.0374342
,tertiary,80.1385601,13.0374342
Mugalivakkam Main Road,tertiary,80.16633,13.0211562
Valluvar Salai,secondary,80.1830853,13.0245122
Kamarajar Salai,secondary,80.1913259,13.0315002
Vanniyar Street,secondary,80.1926051,13.0466026
,tertiary,80.2280275,13.0540663
Choolaimedu High Road,tertiary,80.2313523,13.0663966
NSK Salai,tertiary,80.2306849,13.0540131
Brindavan Street,secondary,80.2272655,13.0416237
Ellaiamman Kovil Street,tertiary,80.2246533,13.0347191
Ashok Nagar 49th Street,secondary,80.2162822,13.0362179
Vada Agaram Road,tertiary,80.2265647,13.0681721
Razzak Garden Road,tertiary,80.2160144,13.0752497
Kodambakkam Road,secondary,80.2200554,13.0322087
,tertiary,80.220542,13.0358964
Reddy Kuppam Street,tertiary,80.2240221,13.0284845
Pachaiyappan Street,secondary,80.1927627,13.0307214
Pillayar Koil Street,tertiary,80.2027323,13.0317482
Manapakkam Main Road,secondary,80.1829376,13.021186
Manapakkam Main Road,secondary,80.1367546,13.015637
Jones Road,tertiary,80.2234304,13.0252089
80 Feet Road,tertiary,80.1988741,13.0453182
Rajamannar Salai,secondary,80.2055053,13.0426488
PT Rajan Salai,secondary,80.2056033,13.0426093
7th Street,tertiary,80.2149029,13.0419502
7th Avenue,secondary,80.2159372,13.0415669
Arya Gowda Road,secondary,80.220542,13.0358964
7th Avenue,secondary,80.2162822,13.0362179
,tertiary,80.2220416,13.0429082
2nd Avenue,secondary,80.2173384,13.0437768
Brindavan Street Ext,secondary,80.2181081,13.0433032
Thambiah Road,tertiary,80.2245146,13.0409041
Thambiah Road,tertiary,80.2249482,13.0421956
Brindavan Street,secondary,80.2220416,13.0429082
Raju Street,tertiary,80.2219064,13.0423431
18th Avenue,tertiary,80.2110835,13.0383743
Reddy Street,secondary,80.1921185,13.0490354
Kamaraj Salai,tertiary,80.1962097,13.0493031
Gandhi nagar main Road,tertiary,80.1890863,13.0498018
Thangal Street,tertiary,80.1894633,13.0498013
Vembuliamman Koil Street,tertiary,80.1893647,13.0464375
Mari Amman Koil Street,tertiary,80.1920417,13.0397699
Thiruvalluvar Salai,secondary,80.1859977,13.0449255
Gangai Amman Koil Street,tertiary,80.2116712,13.0264298
Thiruvallur Road,tertiary,80.2004394,13.0693418
,tertiary,80.1898401,13.0659554
,tertiary,80.1958953,13.0606154
Ambika street,tertiary,80.2308021,12.9838348
Lakeview Street,tertiary,80.1985794,12.9915007
Nanganallur 6th Main Road,tertiary,80.1882623,12.9807313
College Road,tertiary,80.1882386,12.9864957
Nanganallur 1st Main Road,tertiary,80.1884468,12.9830017
Balusamy Street,tertiary,80.1860198,12.9864621
,tertiary,80.1861958,12.9693429
5th Main Road,tertiary,80.1838303,12.9805756
Nanganallur 5th Main Road,tertiary,80.1853237,12.9811839
Kakkan Nagar Main Road,tertiary,80.2065443,12.9946468
Nehru High Road,tertiary,80.1763832,12.9823537
3rd Main Road,tertiary,80.1766447,12.9857308
3rd Main Road,tertiary,80.176537,12.9831719
Bazaar Road,tertiary,80.2246275,13.0220622
Ponniamman Koil Street,tertiary,80.1972991,12.9794004
MGR Road,tertiary,80.1863216,12.9708655
2nd Main Road,tertiary,80.1933682,12.9896609
Racecourse Road,secondary,80.2163283,13.0104614
Erukkancheri High Road,primary,80.2490276,13.1230214
SIDCO Industrial Estate South Phase Road,secondary,80.2042207,13.0137092
Poonamalle Road,tertiary,80.1986795,13.0193122
City Link Road,tertiary,80.2094718,13.0035057
Grand Southern Trunk Road,primary,80.2059253,13.0075844
Murugappa Street,tertiary,80.1922824,12.9748662
Puzhuthivakkam Road,tertiary,80.1964637,12.9723418
Station Road,primary_link,80.2005058,13.0015169
,tertiary,80.2143479,13.01424
Taramani Link Road,primary,80.2227628,12.9769934
Moovarasampettai Main Road,tertiary,80.1861958,12.9693429
Vaidhyanathan Street,secondary,80.2814725,13.1281801
Jeevarathinam Road,secondary,80.2946209,13.124973
Dr. Ambedkar Road,tertiary,80.1351946,12.9744632
Pozhichalur - Cowl Bazaar Road,tertiary,80.1419999,12.9893424
,secondary,80.2929526,13.1142183
Kannan Street,tertiary,80.2771377,13.1128685
Varadharaja Perumal Koil Street,secondary,80.291602,13.1249976
Jeeva Nagar Main Road,tertiary,80.2915371,13.1408178
